1,"A machine learning team has several large CSV datasets in Amazon S3. Historically, models built with the Amazon SageMaker Linear Learner algorithm have taken hours to train on similar-sized datasets. The team's leaders need to accelerate the training process.
What can a machine learning specialist do to address this concern?

A) Use Amazon SageMaker Pipe mode.

B) Use Amazon Machine Learning to train the models.

C) Use Amazon Kinesis to stream the data to Amazon SageMaker.

D) Use AWS Glue to transform the CSV dataset to the JSON format.","Answer : A

A  Amazon SageMaker Pipe mode streams the data directly to the container, 
which improves the performance of training jobs. 
In Pipe mode, your training job streams data directly from Amazon S3. 
Streaming can provide faster start times for training jobs and better throughput.
With Pipe mode, you also reduce the size of the Amazon EBS volumes for your training instances. 

B would not apply in this scenario. 
C is a streaming ingestion solution, but is not applicable in this scenario. 
D transforms the data structure.
",
2,"A term frequency–inverse document frequency (tf–idf) matrix using both unigrams and bigrams is built from a text corpus consisting of the following two sentences:
1. Please call the number below.
2. Please do not call us.
What are the dimensions of the tf–idf matrix?

A) (2, 16)

B) (2, 8)

C) (2, 10)

D) (8, 10)
","Answer : A

A – There are 2 sentences, 8 unique unigrams, and 8 unique bigrams, 
so the result would be (2,16). 
The phrases are ""Please call the number below""
and ""Please do not call us""

Each word individually (unigram) is 
Please,call,the,number,below,do,not,us

The unique bigrams are 
Please call,call the,the number,number below,
Please do,do not,not call,call us.",
3,"A company is setting up a system to manage all of the datasets it stores in Amazon S3. The company would like to automate running transformation jobs on the data and maintaining a catalog of the metadata concerning the datasets. The solution should require the least amount of setup and maintenance.
Which solution will allow the company to achieve its goals?

A) Create an Amazon EMR cluster with Apache Hive installed. Then, create a Hive metastore and a script to run transformation jobs on a schedule.

B) Create an AWS Glue crawler to populate the AWS Glue Data Catalog. Then, author an AWS Glue ETL job, and set up a schedule for data transformation jobs.

C) Create an Amazon EMR cluster with Apache Spark installed. Then, create an Apache Hive metastore and a script to run transformation jobs on a schedule.


D) Create an Amazon SageMaker Jupyter notebook instance that transforms the data. Then, create an Apache Hive metastore and a script to run transformation jobs on a schedule.","Answer : B
  
B – AWS Glue requires the least amount of setup and maintenance 
since it is serverless, and it does not require management of 
the infrastructure. Refer to this link for supporting information. 
A, C, and D are all solutions that can solve the problem, 
but require more steps for configuration, and
require higher operational overhead to run and maintain.
",
4,"A data scientist is evaluating different binary classification models. A false positive result is 5 times more expensive (from a business perspective) than a false negative result.
The models should be evaluated based on the following criteria:
1) Must have a recall rate of at least 80%
2) Must have a false positive rate of 10% or less
3) Must minimize business costs
After creating each binary classification model, the data scientist generates the corresponding confusion
matrix.
Which confusion matrix represents the model that satisfies the requirements?

A) TN = 91, FP = 9, FN = 22, TP = 78

B) TN = 99, FP = 1, FN = 21, TP = 79

C) TN = 96, FP = 4, FN = 10, TP = 90

D) TN = 98, FP = 2, FN = 18, TP = 82","Answers : D
  
TP = True Positive				
FP = False Positive				
FN = False Negative				
TN = True Negative				
RR = Recall Rate = TP / (TP + FN)				
FPR = False Positive Rate (FPR) = FP / (FP + TN)				
Cost = 5 * FP + FN				
(1) Must have a recall rate of at least 80%				
(2) Must have a false positive rate of 10% or less				
(3) Must minimize business costs
Minimum Cost = MINIFS(I14:I18,J14:J18,""Yes"",K14:K18,""Yes"")				
               A          B          C          D
TN         91          99          96          98
FP          9            1            4             2
FN         22          21          10          18
TP         78           79          90          82
RR         0.78      0.79        0.9       0.82
FPR      0.09       0.01        0.04     0.02
Cost       67          26          30          28
RR >= 0.8 ? => C,D
FPR <= 0.1 ? => A,B,C,D
Minimum Cost ? => D
Options C and D have a recall greater than 80% and an FPR less than 10%, but D is the most cost effective.
",
5,"A data scientist uses logistic regression to build a fraud detection model. While the model accuracy is 99%, 90% of the fraud cases are not detected by the model.
What action will definitively help the model detect more than 10% of fraud cases?

A) Using undersampling to balance the dataset

B) Decreasing the class probability threshold

C) Using regularization to reduce overfitting

D) Using oversampling to balance the dataset
","Answers : B
  
B – Decreasing the class probability threshold makes the model more sensitive and, therefore, marks more cases as the positive class, which is fraud in this case. This will increase the likelihood of fraud detection.
However, it comes at the price of lowering precision. 
Example :
# changing threshold and predicting 
print('prediction with higher threshold 0.9 :') 
y_pred_new_threshold = (lr.predict_proba(X_test)[:, 1] >= 0.9).astype(int) 
print(y_pred_new_threshold)",
6,"A Machine Learning Specialist is implementing a full Bayesian network on a dataset that describes public transit in New York City. One of the random variables is discrete, and represents the number of minutes New Yorkers wait for a bus given that the buses cycle every 10 minutes, with a mean of 3 minutes.
Which prior probability distribution should the ML Specialist use for this variable?

A. Poisson distribution 

B. Uniform distribution

C. Normal distribution

D. Binomial distribution
","Answers : D

The main difference between the binomial distribution and the normal distribution is that binomial distribution is discrete, whereas the normal distribution is continuous.
",
7,"An interactive online dictionary wants to add a widget that displays words used in similar contexts. A Machine Learning Specialist is asked to provide word features for the downstream nearest neighbor model powering the widget.
What should the Specialist do to meet these requirements?

A. Create one-hot word encoding vectors.

B. Produce a set of synonyms for every word using Amazon Mechanical Turk.

C. Create word embedding factors that store edit distance with every other word.

D. Download word embedding's pre-trained on a large corpus.
","Answers : A
",
8,"A Machine Learning team uses Amazon SageMaker to train an Apache MXNet handwritten digit classifier model using a research dataset. The team wants to receive a notification when the model is overfitting. Auditors want to view the Amazon SageMaker log activity report to ensure there are no unauthorized API calls. What should the Machine Learning team do to address the requirements with the least amount of code and fewest steps?

A. Implement an AWS Lambda function to log Amazon SageMaker API calls to Amazon S3. Add code to push a custom metric to Amazon CloudWatch

B. Create an alarm in CloudWatch with Amazon SNS to receive a notification when the model is overfitting.

C. Use AWS CloudTrail to log Amazon SageMaker API calls to Amazon S3. Add code to push a custom metric to Amazon CloudWatch

D. Create an alarm in CloudWatch with Amazon SNS to receive a notification when the model is overfitting.

E. Implement an AWS Lambda function to log Amazon SageMaker API calls to AWS CloudTrail

F. Add code to push a custom metric to Amazon CloudWatch

G. Create an alarm in CloudWatch with Amazon SNS to receive a notification when the model is overfitting.

H. Use AWS CloudTrail to log Amazon SageMaker API calls to Amazon S3. Set up Amazon SNS to receive a notification when the model is overfitting.
","Answers : C
",
9,"A gaming company has launched an online game where people can start playing for free but they need to pay if they choose to use certain features The company needs to build an automated system to predict whether or not a new user will become a paid user within 1 year The company has gathered a labeled dataset from 1 million users.
The training dataset consists of 1000 positive samples (from users who ended up paying within 1 year) and 999 negative samples (from users who did not use any paid features) Each data sample consists of 200 features including user age, device, location, and play patterns.
Using this dataset for training, the Data Science team trained a random forest model that converged with over 99% accuracy on the training set However, the prediction results on a test dataset were not satisfactory.
Which of the following approaches should the Data Science team take to mitigate this issue? (Select TWO.)

A. Add more deep trees to the random forest to enable the model to learn more features.

B. indicate a copy of the samples in the test database in the training dataset

C. Generate more positive samples by duplicating the positive samples and adding a small amount of noise to the duplicated data.

D. Change the cost function so that false negatives have a higher impact on the cost value than false positives

E. Change the cost function so that false positives have a higher impact on the cost value than false negatives","Answers : B,D
",
10,"A Machine Learning Specialist is developing recommendation engine for a photography blog Given a picture, the recommendation engine should show a picture that captures similar objects The Specialist would like to create a numerical representation feature to perform nearest-neighbor searches.
What actions would allow the Specialist to get relevant numerical representations?

A. Reduce image resolution and use reduced resolution pixel values as features

B. Use Amazon Mechanical Turk to label image content and create a one-hot representation indicating the presence of specific labels

C. Run images through a neural network pie-trained on ImageNet, and collect the feature vectors from the penultimate layer

D. Average colors by channel to obtain three-dimensional representations of images.
","Answers : A
",
