1,0,"A machine learning team has several large CSV datasets in Amazon S3. Historically, models built with the Amazon SageMaker Linear Learner algorithm have taken hours to train on similar-sized datasets. The team’s leaders need to accelerate the training process."
1,0,What can a machine learning specialist do to address this concern?
1,0,
1,0,A) Use Amazon SageMaker Pipe mode.
1,0,
1,0,B) Use Amazon Machine Learning to train the models.
1,0,
1,0,C) Use Amazon Kinesis to stream the data to Amazon SageMaker.
1,0,
1,0,D) Use AWS Glue to transform the CSV dataset to the JSON format.
1,1,Answer : A
1,1,"A  Amazon SageMaker Pipe mode streams the data directly to the container, "
1,1,which improves the performance of training jobs. 
1,1,"In Pipe mode, your training job streams data directly from Amazon S3. "
1,1,Streaming can provide faster start times for training jobs and better throughput.
1,1,"With Pipe mode, you also reduce the size of the Amazon EBS volumes for your training instances. "
1,1,
1,1,B would not apply in this scenario. 
1,1,"C is a streaming ingestion solution, but is not applicable in this scenario. "
1,1,D transforms the data structure.
1,1,
2,0,A term frequency-inverse document frequency (tf-idf) matrix using both unigrams and bigrams is built from a text corpus consisting of the following two sentences:
2,0,1. Please call the number below.
2,0,2. Please do not call us.
2,0,What are the dimensions of the tf-idf matrix?
2,0,
2,0,"A) (2, 16)"
2,0,
2,0,"B) (2, 8)"
2,0,
2,0,"C) (2, 10)"
2,0,
2,0,"D) (8, 10)"
2,1,Answer : A
2,1,
2,1,"A - There are 2 sentences, 8 unique unigrams, and 8 unique bigrams, "
2,1,"so the result would be (2,16). "
2,1,"The phrases are """"Please call the number below"""
2,1,"and """"Please do not call us"""
2,1,
2,1,Each word individually (unigram) is 
2,1,"Please,call,the,number,below,do,not,us"
2,1,
2,1,The unique bigrams are 
2,1,"Please call,call the,the number,number below,"
2,1,"Please do,do not,not call,call us."
3,0,A company is setting up a system to manage all of the datasets it stores in Amazon S3. The company would like to automate running transformation jobs on the data and maintaining a catalog of the metadata concerning the datasets. The solution should require the least amount of setup and maintenance.
3,0,Which solution will allow the company to achieve its goals?
3,0,
3,0,"A) Create an Amazon EMR cluster with Apache Hive installed. Then, create a Hive metastore and a script to run transformation jobs on a schedule."
3,0,
3,0,"B) Create an AWS Glue crawler to populate the AWS Glue Data Catalog. Then, author an AWS Glue ETL job, and set up a schedule for data transformation jobs."
3,0,
3,0,"C) Create an Amazon EMR cluster with Apache Spark installed. Then, create an Apache Hive metastore and a script to run transformation jobs on a schedule."
3,0,
3,0,
3,0,"D) Create an Amazon SageMaker Jupyter notebook instance that transforms the data. Then, create an Apache Hive metastore and a script to run transformation jobs on a schedule."
3,1,Answer : B
3,1,B - AWS Glue requires the least amount of setup and maintenance 
3,1,"since it is serverless, and it does not require management of "
3,1,the infrastructure. Refer to this link for supporting information. 
3,1,"A, C, and D are all solutions that can solve the problem, "
3,1,"but require more steps for configuration, and"
3,1,require higher operational overhead to run and maintain.
3,1,
4,0,A data scientist is evaluating different binary classification models. A false positive result is 5 times more expensive (from a business perspective) than a false negative result.
4,0,The models should be evaluated based on the following criteria:
4,0,1) Must have a recall rate of at least 80%
4,0,2) Must have a false positive rate of 10% or less
4,0,3) Must minimize business costs
4,0,"After creating each binary classification model, the data scientist generates the corresponding confusion"
4,0,matrix.
4,0,Which confusion matrix represents the model that satisfies the requirements?
4,0,
4,0,"A) TN = 91, FP = 9, FN = 22, TP = 78"
4,0,
4,0,"B) TN = 99, FP = 1, FN = 21, TP = 79"
4,0,
4,0,"C) TN = 96, FP = 4, FN = 10, TP = 90"
4,0,
